Country	3_1_1	3_1_2	3_1_3	3_2_1	3_2_2	3_3_3	3_4_3	3_1_1_adj	3_1_2_adj	3_1_3_adj	3_2_1_adj	3_2_2_adj	3_3_3_adj	3_4_3_adj	3_1_1_norm	3_1_2_norm	3_1_3_norm	3_2_1_norm	3_2_2_norm	3_3_3_norm	3_4_3_norm	EMP	IND	Participation	Participation_Ranking						
Sweden	93.1	50.0	18.8	52.5	35.3	68.2	-19.3	93.1	50.0	18.8	52.5	35.3	68.2	-19.3	0.913043478	0.456908345	0.302240919	0.867742067	0.71875	0.770781099		0.557397581	0.785757722	0.671577651	6						
Turkey				16.2	18.0	43.0	53.3				16.2	18.0	43.0	53.3				0	0	0.136443428	0.47747802		0.153480362	0.153480362	33						
United States				50.5	30.0	74.6					50.5	30.0	74.6					0.822083494	0.5	0.929646021			0.750576505	0.750576505	3						
																															
																															
																															
																															
																															
																															
																															
