Country	1_1_1	1_1_2	1_2_1	1_2_2	1_3_1	1_3_2	1_4_1	1_4_2	1_4_3	1_1_1_adj	1_1_2_adj	1_2_1_adj	1_2_2_adj	1_3_1_adj	1_3_2_adj	1_4_1_adj	1_4_2_adj	1_4_3_adj	1_1_1_norm	1_1_2_norm	1_2_1_norm	1_2_2_norm	1_3_1_norm	1_3_2_norm	1_4_1_norm	1_4_2_norm	1_4_3_norm	PA	ASC	AS	LMI	Total	Ranking
Australia	22.6	37.2		14.9	21.5	22.4	24.0	34.0		22.6	37.2		14.9	21.5	22.4	24.0	34.0		0.352812347	0.115373508		0.28448558	0.21464751	0.016302898	0.120764659	0.225352113		0.234092928	0.28448558	0.115475204	0.173058386	0.201778025	30
Austria	28.1	54.5	46.3	13.1	19.1	29.9	41.2	46.0	50.4	28.1	54.5	46.3	13.1	19.1	29.9	41.2	46.0	50.4	0.529775717	0.565244208	0.450671443	0.191103541	0.1725803	0.161183052	0.452998644	0.394366197	0.664870466	0.547509962	0.320887492	0.166881676	0.504078436	0.384839391	17
Belgium	28.0	46.3	42.5	18.5	17.3	31.6	22.8	35.0	39.9	28.0	46.3	42.5	18.5	17.3	31.6	22.8	35.0	39.9	0.525598285	0.35041099	0.336991784	0.470939259	0.14214238	0.193765001	0.09742284	0.23943662	0.445803109	0.438004638	0.403965521	0.16795369	0.260887523	0.317702843	23
Canada	23.8	43.8	42.1	15.2	25.1	29.3	25.2	41.0		23.8	43.8	42.1	15.2	25.1	29.3	25.2	41.0		0.390382492	0.28752347	0.323136293	0.296766696	0.276607676	0.150849413	0.14314426	0.323943662		0.338952981	0.309951495	0.213728544	0.233543961	0.274044245	24
Switzerland	26.8	50.0						33.0		26.8	50.0						33.0		0.486779833	0.448950781						0.211267606		0.467865307					
Chile	15.2	39.2	53.0		67.1	62.6	65.6			15.2	39.2	53.0		67.1	62.6	65.6			0.111346759	0.16744685	0.652944399		1	0.791173193	0.923505891			0.139396804	0.652944399	0.895586596		0.5626426	6
Czech Republic	26.9	54.0	46.7	9.4	16.9	31.4	40.1	36.0	66.4	26.9	54.0	46.7	9.4	16.9	31.4	40.1	36.0	66.4	0.49113094	0.552640617	0.462183152	0	0.135024096	0.190233485	0.430520047	0.253521127	0.995854922	0.521885778	0.231091576	0.162628791	0.559965365	0.368892878	18
Germany	32.1	54.4	54.2	11.6	22.6	30.9	46.9	51.0	52.9	32.1	54.4	54.2	11.6	22.6	30.9	46.9	51.0	52.9	0.659304607	0.561988809	0.689352816	0.116604672	0.232676574	0.179764171	0.562481544	0.464788732	0.716476684	0.610646708	0.402978744	0.206220372	0.581248987	0.450273703	14
Denmark	29.7	41.0	38.3	11.8	19.1	25.5	23.8		23.8	29.7	41.0	38.3	11.8	19.1	25.5	23.8		23.8	0.581723363	0.213005929	0.207458233	0.12230015	0.172661179	0.077450414	0.115947031		0.112746114	0.397364646	0.164879192	0.125055796	0.114346573	0.200411552	31
Spain	28.5	71.2	51.9	27.2	35.7		39.4	24.0	42.3	28.5	71.2	51.9	27.2	35.7		39.4	24.0	42.3	0.54290052	0.999067301	0.621693892	0.914533449	0.458383169		0.417193782	0.084507042	0.496373057	0.77098391	0.76811367	0.458383169	0.332691294	0.582543011	4
Estonia	28.9	51.5	43.0	19.9	18.2	37.8	47.2		44.0	28.9	51.5	43.0	19.9	18.2	37.8	47.2		44.0	0.556660392	0.487459811	0.35109439	0.539992509	0.15745923	0.313520692	0.567656211		0.532227979	0.522060102	0.44554345	0.235489961	0.549942095	0.438258902	16
Finland	32.0	44.3	33.6	16.0	15.4	24.7	29.9	45.0	22.9	32.0	44.3	33.6	16.0	15.4	24.7	29.9	45.0	22.9	0.655405359	0.300238719	0.067102973	0.338822733	0.108748389	0.061815952	0.233988225	0.38028169	0.094507772	0.477822039	0.202962853	0.085282171	0.236259229	0.250581573	26
France	30.2	47.2	49.2	11.5	31.5		31.1	29.0	35.6	30.2	47.2	49.2	11.5	31.5		31.1	29.0	35.6	0.596190682	0.373938699	0.538577892	0.107477849	0.385862312		0.256751291	0.154929577	0.357512953	0.48506469	0.32302787	0.385862312	0.256397941	0.362588203	19
United Kingdom	28.2	43.6	37.7	14.6	26.8	28.7	20.9	19.0	34.6	28.2	43.6	37.7	14.6	26.8	28.7	20.9	19.0	34.6	0.532423982	0.281866043	0.190062574	0.26742685	0.305551245	0.138838668	0.060934326	0.014084507	0.337202073	0.407145012	0.228744712	0.222194957	0.137406968	0.248872912	27
Greece	30.5	67.7	58.7	17.2	35.5	54.7	35.8	61.0	18.4	30.5	67.7	58.7	17.2	35.5	54.7	35.8	61.0	18.4	0.605671391	0.907354111	0.826312402	0.400235495	0.456226479	0.637558748	0.347766076	0.605633803	0	0.756512751	0.613273948	0.546892613	0.31779996	0.558619818	7
Hungary	25.7	48.1		22.8				51.0	35.2	25.7	48.1		22.8				51.0	35.2	0.452257555	0.397649001		0.688286842				0.464788732	0.34880829	0.424953278	0.688286842		0.406798511	0.506679544	10
Ireland	20.3	45.1	42.7	23.6	27.7	37.0	24.3	18.0	32.0	20.3	45.1	42.7	23.6	27.7	37.0	24.3	18.0	32.0	0.278949314	0.320060679	0.343554543	0.728094649	0.321808834	0.298751281	0.125982506	0	0.283108808	0.299504996	0.535824596	0.310280057	0.136363771	0.320493355	22
Israel	18.4	48.2	44.8	13.2	36.3	41.2	32.1	49.0		18.4	48.2	44.8	13.2	36.3	41.2	32.1	49.0		0.216955387	0.400010108	0.40497297	0.197084793	0.469524584	0.378373228	0.276781825	0.436619718		0.308482748	0.301028882	0.423948906	0.356700771	0.347540327	20
