Country	1_1_1	1_1_2	1_2_1	1_2_2	1_3_1	1_3_2	1_4_1	1_4_2	1_4_3	1_1_1_outliers_adjusted	1_1_2_outliers_adjusted	1_2_1_outliers_adjusted	1_2_2_outliers_adjusted	1_3_1_outliers_adjusted	1_3_2_outliers_adjusted	1_4_1_outliers_adjusted	1_4_2_outliers_adjusted	1_4_3_outliers_adjusted	1_1_1_normalised	1_1_2_normalised	1_2_1_normalised	1_2_2_normalised	1_3_1_normalised	1_3_2_normalised	1_4_1_normalised	1_4_2_normalised	1_4_3_normalised	PA	ASC	AS	LMI	Tot_Urgency	Ranking
Netherlands	27.4	48.2	40.1	10.9	15.6	22.1	17.8	14.0	32.7	27.4	48.2	40.1	10.9	15.6	22.1	17.8	14.0	32.7	0.508094485	0.399717306	0.262458906	0.077445372	0.112119957	0.011538815	0	0.041666667	0.29761658	0.453905896	0.169952139	0.061829386	0.020833333	0.176630188	33
Norway	24.8	39.1	31.4	12.7	16.9	21.5	31.5	30.0		24.8	39.1	31.4	12.7	16.9	21.5	31.5	30.0		0.423048196	0.16494186	0	0.170039865	0.134047055	0	0.265844093	0.263888889		0.293995028	0.085019932	0.067023527	0.264866491	0.177726245	32
New Zealand	22.4	39.5	32.8		20.7	22.9	31.0	50.0		22.4	39.5	32.8		20.7	22.9	31.0	50.0		0.345518796	0.174123237	0.041246415		0.19944479	0.02714615	0.256104918	0.541666667		0.259821016	0.041246415	0.11329547	0.398885793	0.203312174	29
Poland	22.5	56.3	50.4	19.1	27.4	56.8	45.2	41.0	57.2	22.5	56.3	50.4	19.1	27.4	56.8	45.2	41.0	57.2	0.347421637	0.612513762	0.573978706	0.498362826	0.31553212	0.678059819	0.530012868	0.416666667	0.804559585	0.4799677	0.536170766	0.49679597	0.473339767	0.496568551	11
Portugal	31.8	67.5		21.3					38.6	31.8	67.5		21.3					38.6	0.649737997	0.902584116		0.611485873					0.418860104	0.776161057	0.611485873			0.693823465	1
Slovakia	19.9	49.6	64.4	16.1	16.5	43.2		28.0	54.6	19.9	49.6	64.4	16.1	16.5	43.2		28.0	54.6	0.264463842	0.437534892	1	0.344710095	0.127210465	0.416946062		0.236111111	0.750259067	0.350999367	0.672355048	0.272078263	0.236111111	0.382885947	16
Slovenia	26.8	61.1	52.9	18.6	31.2	47.8	40.5	27.0	21.1	26.8	61.1	52.9	18.6	31.2	47.8	40.5	27.0	21.1	0.488135477	0.73715607	0.65265036	0.474340333	0.381122692	0.506278508	0.439731449	0.222222222	0.056994819	0.612645773	0.563495346	0.4437006	0.330976836	0.487704639	13
Sweden	31.1	41.3	35.4	15.2	17.5	23.4	34.5	39.0	35.3	31.1	41.3	35.4	15.2	17.5	23.4	34.5	39.0	35.3	0.625188202	0.222409557	0.122272711	0.300928638	0.145569106	0.036524911	0.32391033	0.388888889	0.350673575	0.42379888	0.211600675	0.091047009	0.35639961	0.270711543	24
Turkey	11.7	32.8	59.5		56.9	73.5	23.3	51.0		11.7	32.8	59.5		56.9	73.5	23.3	51.0		0	0	0.851603723		0.82495201	1	0.107204504	0.555555556		0	0.851603723	0.912476005	0.33138003	0.523864939	9
United States of America	22.1	36.4	37.2	9.8	30.0	30.4	22.9	32.0		22.1	36.4	37.2	9.8	30.0	30.4	22.9	32.0		0.336814142	0.09442158	0.17637471	0.020524963	0.361497429	0.171757007	0.098193225	0.291666667		0.215617861	0.098449837	0.266627218	0.194929946	0.193906215	31
